,Genes,Norm_Symbol,Phosphosite_hu_no
3217,CPSF4L,CPSF4L,3
3218,CPSF6,CPSF6,32
3219,CPSF7,CPSF7,37
3220,CPT1A,CPT1A,8
3221,CPT1B,CPT1B,10
3222,CPT1C,CPT1C,1
3223,CPT2,CPT2,11
3224,CPVL,CPVL,6
3225,CPXM1,CPXM1,7
3226,CPXM2,CPXM2,6
3227,CPZ,CPZ,2
3228,CR1,CR1,12
3229,CR2,CR2,11
3230,CRABP1,CRABP1,3
3231,CRABP2,CRABP2,3
3232,CRADD,CRADD,4
3233,CRAMP1,CRAMP1,23
3234,CRAT,CRAT,9
3235,CRB1,CRB1,3
3236,CRB2,CRB2,5
3237,CRB3,CRB3,4
3238,CRBN,CRBN,5
3239,CREB1,CREB1,18
3240,CREB3,CREB3,3
3241,CREB3L1,CREB3L1,7
3242,CREB3L2,CREB3L2,13
3243,CREB3L3,CREB3L3,7
3244,CREB3L4,CREB3L4,8
3245,CREB5,CREB5,10
3246,CREBZF,CREBZF,19
3247,CREG1,CREG1,3
3248,CREG2,CREG2,2
3249,CRELD1,CRELD1,3
3250,CRELD2,CRELD2,8
3251,CREM,CREM,10
3252,CRHR1,CRHR1,8
3253,CRH,CRH,1
3254,CRHBP,CRHBP,1
3255,CIT,CIT,63
3256,CRIM1,CRIM1,12
3257,KCP,KCP,5
3258,CRIP1,CRIP1,7
3259,CRIP2,CRIP2,22
3260,CRIP3,CRIP3,2
3261,CRIPT,CRIPT,6
3262,CRISP2,CRISP2,5
3263,CRISP3,CRISP3,4
3264,CRISPLD1,CRISPLD1,5
3265,CRISPLD2,CRISPLD2,9
3266,CRK,CRK,31
3267,CRKL,CRKL,30
3268,CRLF1,CRLF1,1
3269,CRLF3,CRLF3,1
3270,CRMP1,CRMP1,31
3271,DPYSL2,DPYSL2,46
3272,DPYSL4,DPYSL4,6
3273,DPYSL3,DPYSL3,46
3274,DPYSL5,DPYSL5,14
3275,CRNKL1,CRNKL1,12
3276,CRNN,CRNN,9
3277,CROCC,CROCC,40
3278,CROCCP3,CROCCP3,1
3279,LUC7L3,LUC7L3,25
3280,CROT,CROT,7
3281,CR1L,CR1L,3
3282,CRTAC1,CRTAC1,6
3283,CRTAM,CRTAM,8
3284,CRTAP,CRTAP,1
3285,CRX,CRX,2
3286,CRY1,CRY1,4
3287,CRY2,CRY2,10
3288,CRYAA,CRYAA,8
3289,CRYAB,CRYAB,14
3290,CRYBA1,CRYBA1,7
3291,CRYBA2,CRYBA2,1
3292,CRYBA4,CRYBA4,2
3293,CRYBB1,CRYBB1,6
3294,CRYBB2,CRYBB2,6
3295,CRYBB3,CRYBB3,1
3296,CRYBG3,CRYBG3,77
3297,CRYGB,CRYGB,2
3298,CRYGC,CRYGC,2
3299,CRYGD,CRYGD,1
3300,CRYGN,CRYGN,2
3301,CRYGS,CRYGS,4
3302,CRYL1,CRYL1,4
3303,CRYM,CRYM,3
3304,CRYZ,CRYZ,15
3305,CRYZL1,CRYZL1,2
3306,CS,CS,13
3307,CSAD,CSAD,3
3308,CSAG1,CSAG1,1
3309,CSAG3,CSAG3,1
3310,CSB-PGBD3,ERCC6,5
3311,YBX3,YBX3,36
3312,CSDC2,CSDC2,7
3313,CSDE1,CSDE1,25
3314,CSF2RA,CSF2RA,12
3315,CSF2RB,CSF2RB,11
3316,CSF1R,CSF1R,22
3317,CHPF2,CHPF2,6
3318,CSH1,CSH1,3
