Genes,PhosNo,Norm_Symbol
ZNF587B,2,ZNF587B
PPP5D1,1,PPP5D1
PROB1,28,PROB1
NACA,144,NACA
PTGES3L,1,PTGES3L
ANHX,1,ANHX
NPIPA2,5,NPIPA2
NPIPA7,4,NPIPA7
NPIPA5,3,NPIPA5
NDUFC2-KCTD14,1,NDUFC2-KCTD14
C11orf98,1,C11orf98
UBAP1L,1,UBAP1L
PPIAL4D,4,PPIAL4D
C3orf80,5,C3orf80
FAM227A,1,FAM227A
RFPL4AL1,1,RFPL4AL1
NPIPB9,2,NPIPB9
GOLGA8N,9,GOLGA8N
INS-IGF2,1,INS-IGF2
NPIPA3,4,NPIPA3
SLCO1B7,2,SLCO1B7
CNK3,30,CNK3
FAM72C,1,FAM72C
GOLGA6L19,1,GOLGA6L19
GOLGA6L22,6,GOLGA6L22
C16orf97,1,C16orf97
STMND1,3,STMND1
GOLGA8M,7,GOLGA8M
TEX46,2,TEX46
POTEB2,2,POTEB2
TGFBR3L,4,TGFBR3L
CROCC2,12,CROCC2
CLDN34,3,CLDN34
CCDC188,2,CCDC188
PANO1,1,PANO1
GFY,4,GFY
GOLGA8R,13,GOLGA8R
ZNF561-AS1,1,ZNF561-AS1
IFNL4,1,IFNL4
ASDURF,2,ASDURF
ERVH48-1,1,ERVH48-1
OVOL3,1,OVOL3
DNASE2,2,DNASE2
AGPS,24,AGPS
UBXN8,2,UBXN8
KIF2A,23,KIF2A
SGK1,5,SGK1
TK2,1,TK2
FZD9,2,FZD9
DDX39A,17,DDX39A
PDLIM1,36,PDLIM1
ACOT7,18,ACOT7
GPR25,2,GPR25
MYO1C,32,MYO1C
MYO1F,16,MYO1F
SNAP23,15,SNAP23
HAX1,8,HAX1
EYA2,3,EYA2
FXYD1,5,FXYD1
AIP,11,AIP
GTPBP1,18,GTPBP1
KCNK1,5,KCNK1
LGALS9,4,LGALS9
STXBP3,11,STXBP3
AP4M1,6,AP4M1
ARVCF,30,ARVCF
SMAP,22,SMAP
RAB27B,2,RAB27B
AP3B1,20,AP3B1
SULT2B1,16,SULT2B1
TLR4,5,TLR4
RHOD,1,RHOD
APBB1,11,APBB1
LGALS8,1,LGALS8
NDUFS8,1,NDUFS8
HAS3,2,HAS3
