Genes,1Y,4Y,8Y,23Y,30Y,36Y,40Y,Norm_Symbol
LAMA3;LAMA5,108156766.7510629,8972405.481141597,80177648.08603744,14914752.848872053,14914752.848872053,14914752.848872053,14914752.848872053,LAMA3
LAMA4,26191128.62532365,8051149.365881743,8051149.365881743,19617940.038718,19617940.038718,19617940.038718,19617940.038718,LAMA4
LAMB1,23392740.16662843,9851929.586546637,9851929.586546637,9769049.884897117,9769049.884897117,9769049.884897117,9769049.884897117,LAMB1
LAMB2,463404204.3322586,387247944.6642368,442013922.0740158,477880247.88802105,450806332.5268915,269434630.21944916,526665622.01023567,LAMB2
LAMC1,203633430.17536697,116742913.41935408,129530389.30362707,40904184.563485496,362057140.7770239,40904184.563485496,466023894.29092354,LAMC1
LAMP1,372662499.6601448,403034975.6984597,295540896.78176385,126583890.70611206,397197071.75689065,124256791.67866996,116898912.23664832,LAMP1
LAMP2,198133938.9726167,283436892.95492274,144355890.12147003,27206186.25899434,27206186.25899434,27206186.25899434,348077806.59843713,LAMP2
LAMP5,392820290.9731325,622961283.2491113,450353773.15289617,1424967411.8375638,1091971091.1352196,1044804714.7070893,1341589728.9366868,LAMP5
LAMTOR1,476284494.02653337,942085922.2361436,678583203.7317933,514164312.47907424,496413719.1697584,392866264.6229611,459062294.1218508,LAMTOR1
LAMTOR2,17917955.154779583,17917955.154779583,184211332.18100184,38518866.482537895,1462750.975798813,69939368.574442,69423880.55907111,LAMTOR2
LAMTOR3,455600263.7257903,347620380.2556935,327662142.82411385,603924284.2953159,537257526.0231812,576703353.8743907,53288830.18972369,LAMTOR3
LAMTOR4,38931451.94555057,11444648.908207545,11444648.908207545,10019653.915181033,10019653.915181033,84908551.01431845,70283902.43376341,LAMTOR4
LAMTOR5,194293824.4741134,193471424.94036895,144444137.33677647,475609159.5327184,498248247.7050622,46031042.06517216,526440827.2449284,LAMTOR5
LANCL1,8399339758.568675,13960289001.255816,7910864590.494566,10277614901.561277,12047355848.647636,10550679689.71513,10423013661.525988,LANCL1
LANCL2,3500141783.2801604,3272394768.548913,2955604090.210977,4244057254.2733054,3604001404.050988,2142988094.0101926,3326033782.257424,LANCL2
LAP3,2361251895.984696,2543885566.3624806,1994149923.5788915,1739940261.4045749,2566065486.1358943,2009569114.3006527,2180393013.125278,LAP3
LARP1,481106687.06411386,591895943.3800646,420283980.2115103,527089162.18243366,529447707.55237997,499417559.08698446,417738153.9573319,LARP1
LARS,725579897.9925605,327257270.7874502,477542395.7790511,410761770.38441,570354091.0333061,362391474.7011203,344488862.01669514,LARS
LARS2,678685490.7595409,254385067.57399234,445669682.3871618,278319422.0517904,465493600.52488846,487042671.46692944,561914497.0872892,LARS2
LASP1,2096943403.905744,1864131602.5803077,1488980192.88125,2631908727.4025784,2428690272.7022405,2094026588.7482371,1893045173.054056,LASP1
LCMT1,680530072.7233247,485516985.4738424,455217591.44195664,672245354.2724932,515208885.1038404,483593205.9674068,662990517.1928635,LCMT1
LCP1,184818828.38058943,165529345.13268068,208971952.3056234,110833984.65983966,149135347.74014285,33042419.17158978,107393635.696096,LCP1
LDHA,53508209316.65248,57472556355.23802,51380957474.27496,51383581375.20414,51253139339.81103,53552474206.12746,58904372137.49871,LDHA
LDHB,56358517051.71256,70512620011.94554,68717133020.67696,84687925831.82544,69881862542.62074,81679909427.0347,80650690221.03795,LDHB
LDHD,23187411.21813965,8271593.098817954,8271593.098817954,22918589.635629814,22918589.635629814,22918589.635629814,22918589.635629814,LDHD
LEMD2,10067984.931982748,10067984.931982748,10067984.931982748,9620438.12452356,9620438.12452356,9620438.12452356,9620438.12452356,LEMD2
LETM1,3226787741.1411858,2743269517.8068023,3598567326.300549,3159810571.2145147,2338717013.3249288,2694844149.7221627,3423099661.9246483,LETM1
LETMD1,122804252.33420852,89252640.81135604,115067807.41172443,205365518.49638432,115508332.03646588,182821840.0587664,108396140.724485,LETMD1
LGALS1,11434528661.009552,11524688067.317852,21001162303.177853,25502284742.667824,23376614552.775547,22646875187.811787,23570897570.38584,LGALS1
LGALS3,173499458.56974077,132082551.65084654,62528156.91930058,330344802.7285749,313523368.3109637,293330409.3451052,308293506.9262802,LGALS3
LGALS3BP,380390534.6107402,411324170.1633109,316406813.26848394,299911712.1806308,15377626.021286493,297426456.83777124,249468502.2220937,LGALS3BP
LGALSL,885897662.9664539,1462835223.3778145,1418603758.338272,1606651507.6504295,1676574602.9401872,1850756170.018548,1500940862.3156376,LGALSL
LGI1,1799379837.7385895,2122693906.9688444,2449744480.863625,2233772760.1024,2054658716.980992,2215686022.0444775,2154665279.750308,LGI1
LGI3,70189558.02144884,814182530.4854113,300688237.95359886,240180674.0460888,821109300.305656,222076525.71976134,100468005.94151013,LGI3
LGI4,19061403.735508014,34019615.73684057,31906007.84189354,16964859.865431976,16964859.865431976,67620028.31735009,16964859.865431976,LGI4
LHFPL2,9785877.598186396,9785877.598186396,9785877.598186396,8974512.041288264,8974512.041288264,8974512.041288264,8974512.041288264,LHFPL2
LHPP,553723775.1555719,912051442.7925992,494275222.41096604,1285455666.9413385,1413049421.1962745,1455640411.6065195,1334324203.7250226,LHPP
LIG3,9887880.750225803,9887880.750225803,9887880.750225803,11805377.83296395,11805377.83296395,11805377.83296395,11805377.83296395,LIG3
LIMA1,10249183.427999446,10249183.427999446,10249183.427999446,10774733.226673024,10774733.226673024,10774733.226673024,10774733.226673024,LIMA1
LIMCH1,244044297.02245653,438263526.5275621,279002612.8848672,410354761.9062551,299987607.72940207,200159473.001548,241811618.72759748,LIMCH1
LIMK1,10490669.288627848,10490669.288627848,10490669.288627848,10866838.52397092,66924738.17466281,53826506.83095349,50873732.41991849,LIMK1
LIMS1,8882867.905658383,8882867.905658383,8882867.905658383,16813060.076454565,16813060.076454565,16813060.076454565,16813060.076454565,LIMS1
LIN7A,1405024912.0605369,1010357991.0407119,1036570925.1065356,1324589681.537781,1342866529.1402047,1190510474.1644447,1446482025.766885,LIN7A
LIN7B,10382914.735452827,10382914.735452827,10382914.735452827,10668469.169571798,10668469.169571798,10668469.169571798,10668469.169571798,LIN7B
LIN7C,485464981.88743097,384459209.6417152,415976610.6557233,436787780.3805973,534808594.1791144,617739509.1951113,313629716.2970973,LIN7C
LINGO1,1195385725.0231626,854492539.1340739,863838499.5954549,1252633484.589129,610447623.9975549,1105124248.3692043,1009720799.9736947,LINGO1
LINGO2,19475098.94847236,9815886.666138534,9815886.666138534,11296187.07307972,11296187.07307972,11296187.07307972,11296187.07307972,LINGO2
LINGO3,10206397.17971778,10206397.17971778,10206397.17971778,10891631.65061251,10891631.65061251,10891631.65061251,10891631.65061251,LINGO3
