,Node1,Node2
621,DLGAP1,SH3KBP1
622,DLGAP1,SHANK1
623,DLGAP1,SHANK2
624,DLGAP1,SHANK3
625,DLGAP1,SKT
626,DLGAP1,SNAP91
627,DLGAP1,SORBS1
628,DLGAP1,SORBS2
629,DLGAP1,SPNA2
630,DLGAP1,SPTBN1
631,DLGAP1,SPTBN2
632,DLGAP1,SYNE1
633,DLGAP1,SYNGAP1
634,DLGAP1,SYNPO
635,DLGAP1,TNIK
636,DLGAP1,TRIO
637,DLGAP1,UBE2N
638,DLGAP1,UBE2O
639,DLGAP1,WASF1
640,DLGAP1,YWHAB
641,DLGAP1,YWHAE
642,DLGAP1,YWHAG
643,DLGAP1,YWHAH
644,DLGAP1,YWHAQ
645,DLGAP1,YWHAZ
646,DLGAP1,ABLIM1
647,DLGAP1,ADAM22
648,DLGAP1,AGAP2
649,DLGAP1,ARF3
650,DLGAP1,ARF5
651,DLGAP1,ARHGAP32
652,DLGAP1,ARVCF
653,DLGAP1,BAI3
654,DLGAP1,BAIAP2
655,DLGAP1,CAMK2A
656,DLGAP1,CAMK2B
657,DLGAP1,CAMK2D
658,DLGAP1,CAMK2G
659,DLGAP1,CASK
660,DLGAP1,CNKSR3
661,DLGAP1,CNTNAP1
662,DLGAP1,CTNNB1
663,DLGAP1,CYFIP1
664,DLGAP1,DBN1
665,DLGAP1,DCX
666,DLGAP1,DLG1
667,DLGAP1,DLG2
668,DLGAP1,DLG3
669,DLGAP1,DLG4
670,DLGAP1,DLGAP2
671,DLGAP1,DLGAP3
672,DLGAP1,DLGAP4
673,DLGAP1,DNM1
674,DLGAP1,DPYSL2
675,DLGAP1,DSTN
676,DLGAP1,EPB4.1L1
677,DLGAP1,EPB41L3
678,DLGAP1,GIT1
679,DLGAP1,GLUL
680,DLGAP1,GNB1
681,DLGAP1,GNB2
682,DLGAP1,GNB2L1
683,DLGAP1,GRIA2
684,DLGAP1,GRIN1
685,DLGAP1,GRIN2B
686,DLGAP1,GRIN2D
687,DLGAP1,GSN
688,DLGAP1,HOMER1
689,DLGAP1,HOMER3
690,DLGAP1,IQGAP2
691,DLGAP1,IQSEC1
692,DLGAP1,KCNJ1
693,DLGAP1,KIF2A
694,DLGAP1,KIF5A
695,DLGAP1,KIF5C
696,DLGAP1,LGI1
697,DLGAP1,LRRC7
698,DLGAP1,MAP4K4
699,DLGAP1,MAPK1
700,DLGAP1,NBEA
701,DLGAP1,NCDN
702,DLGAP1,NCKAP1
703,DLGAP1,NEFH
704,DLGAP1,NEFL
705,DLGAP1,PPP1CA
706,DLGAP1,PPP3CA
707,DLGAP1,PPP6C
708,DLGAP1,PRKCB
709,DLGAP1,PRKCG
710,DLGAP1,PTK2
711,DLGAP1,PURA
712,DLGAP1,RAB1
713,DLGAP1,RAC1
714,DLGAP1,RAP1A
715,DLGAP1,RAPGEF4
716,DLGAP1,SH3KBP1
717,DLGAP1,SHANK1
718,DLGAP1,SHANK2
719,DLGAP1,SHANK3
720,DLGAP1,SKT
721,DLGAP1,SNAP91
722,DLGAP1,SORBS1
723,DLGAP1,SORBS2
724,DLGAP1,SPNA2
725,DLGAP1,SPTBN1
726,DLGAP1,SPTBN2
727,DLGAP1,SYNE1
728,DLGAP1,SYNGAP1
729,DLGAP1,SYNPO
730,DLGAP1,TNIK
731,DLGAP1,TRIO
732,DLGAP1,UBE2N
733,DLGAP1,UBE2O
734,DLGAP1,WASF1
735,DLGAP1,YWHAB
736,DLGAP1,YWHAE
737,DLGAP1,YWHAG
738,DLGAP1,YWHAH
739,DLGAP1,YWHAQ
740,DLGAP1,YWHAZ
741,SHANK3,ABI1
742,SHANK3,AGAP2
743,SHANK3,ANK2
