Parent	Child	EdgeType
extracellular matrix of synaptic cleft	AGRN	Gene-Term
synapse	AGRN	Gene-Term
presynapse	CADPS	Gene-Term
presynapse	CADPS2	Gene-Term
postsynaptic cytosol	PTEN	Gene-Term
synapse	PAK5	Gene-Term
postsynaptic density	PAK1	Gene-Term
postsynaptic density	PAK2	Gene-Term
postsynaptic density	PAK3	Gene-Term
postsynapse	FXR1	Gene-Term
postsynapse	APC2	Gene-Term
postsynapse	TRIM3	Gene-Term
postsynaptic density, intracellular component	SYNGAP1	Gene-Term
integral component of presynaptic membrane	SCN11A	Gene-Term
postsynaptic density	SHANK2	Gene-Term
presynaptic cytosol	HTT	Gene-Term
postsynaptic cytosol	HTT	Gene-Term
integral component of postsynaptic membrane	NRP1	Gene-Term
postsynaptic cytosol	PIN1	Gene-Term
postsynaptic density	SHANK3	Gene-Term
integral component of presynaptic membrane	SCN2A	Gene-Term
postsynaptic density	SHANK1	Gene-Term
integral component of presynaptic membrane	SCN10A	Gene-Term
integral component of presynaptic membrane	SCN10A	Gene-Term
integral component of presynaptic membrane	SCN11A	Gene-Term
postsynaptic cytosol	NEDD4	Gene-Term
synapse	MAGI3	Gene-Term
postsynaptic density	MAGI2	Gene-Term
extrinsic component of postsynaptic membrane	MAGI2	Gene-Term
presynapse	MAGI1	Gene-Term
integral component of postsynaptic density membrane	LRRTM4	Gene-Term
integral component of postsynaptic density membrane	LRRTM2	Gene-Term
integral component of presynaptic active zone membrane	SCN8A	Gene-Term
integral component of postsynaptic density membrane	SCN8A	Gene-Term
postsynaptic actin cytoskeleton	ABI2	Gene-Term
postsynaptic density, intracellular component	BAIAP2	Gene-Term
synapse	NUFIP1	Gene-Term
presynapse	UNC13B	Gene-Term
presynaptic active zone	UNC13A	Gene-Term
extrinsic component of neuronal dense core vesicle membrane	CADPS	Gene-Term
synaptic vesicle membrane	SLC17A7	Gene-Term
synapse	PABPC1	Gene-Term
postsynapse	WASF1	Gene-Term
synapse	WASF2	Gene-Term
postsynapse	WASF3	Gene-Term
integral component of synaptic vesicle membrane	SCAMP1	Gene-Term
integral component of synaptic vesicle membrane	SCAMP5	Gene-Term
postsynapse	CPLX1	Gene-Term
presynapse	CPLX2	Gene-Term
presynapse	CPLX1	Gene-Term
presynapse	CPLX2	Gene-Term
postsynapse	CPLX1	Gene-Term
presynapse	CPLX1	Gene-Term
postsynapse	CPLX2	Gene-Term
