,genes
1469,ZFAND6
1470,HSD17B2
1471,TXLNG
1472,PPEF1
1473,LAT2
1474,HUWE1
1475,ZW10
1476,ALG9
1477,ACOX3
1478,MTMR2
1479,PPP1R15A
1480,HSD17B14
1481,TRIP6
1482,ACHE
1483,FTL
1484,SRRT
1485,BAX
1486,NLK
1487,PIGS
1488,ADAMTS2
1489,ATXN7L3
1490,PGS1
1491,PSMC5
1492,UIMC1
1493,MMP2
1494,LPCAT2
1495,GNAO1
1496,OGFOD1
1497,SH3BP2
1498,NOP14
1499,ADD1
1500,L2HGDH
1501,TXNDC16
1502,RTRAF
1503,NID2
1504,GMCL1
1505,SF3B2
1506,KLHL42
1507,GNAS
1508,DNM1L
1509,PTHLH
1510,ERGIC2
1511,TFAP2C
1512,AURKA
1513,CASS4
1514,PIR
1515,AAMDC
1516,RFX2
1517,METTL2A
1518,SULT2B1
1519,ALG6
1520,CNOT3
1521,GP6
1522,PTPN4
1523,DDX18
1524,KHSRP
1525,GNA11
1526,ASAP3
1527,EDEM2
1528,DNMT3B
1529,TPX2
1530,PDRG1
1531,EPB41L1
1532,SLC15A1
1533,DOCK9
1534,ANKRD10
1535,TGDS
1536,DOCK3
1537,C3orf18
1538,COQ9
1539,KIF9
1540,ARHGAP28
1541,CRLS1
1542,PPP1R13B
1543,ATRN
1544,SMOX
1545,FKBP1A
1546,NSFL1C
1547,SLC4A11
1548,C20orf194
1549,ZNF343
1550,EBF4
1551,CPXM1
1552,MAVS
1553,LZTS3
1554,XRN2
1555,KIZ
1556,DYNLL1
1557,TESC
1558,SNX5
1559,RPL6
1560,MAPKAPK5
1561,P2RX7
1562,ESF1
1563,RBBP9
1564,ANAPC5
1565,SLC23A2
1566,SLC8B1
1567,TMEM230
1568,DZANK1
1569,KDM2B
1570,CFAP61
1571,TASP1
1572,GCN1
1573,RPLP0
1574,PXN
1575,SIRT4
1576,RPH3A
1577,KIF16B
1578,TRMT6
1579,CHGB
1580,PEBP1
1581,BRAP
1582,ERP29
1583,FUS
1584,IGBP1
1585,FXYD5
1586,ZNF302
1587,GRAMD1A
1588,FXYD3
1589,CDIP1
1590,CMTM1
1591,KCNH4
1592,GANAB
1593,GMIP
1594,RBM41
1595,BIRC5
1596,LAG3
1597,MLF2
1598,OTUB2
1599,DDX24
1600,ZBTB25
1601,NECAP1
1602,ARHGAP4
1603,ANKRD24
1604,DHX32
1605,RCOR1
1606,GPATCH2L
1607,LTBP4
1608,BLVRB
1609,SLC9A1
1610,SPTLC1
1611,PAPOLA
1612,CCNK
1613,PCBP4
1614,YPEL3
1615,MRPS33
1616,NDUFB2
1617,NUDC
1618,MAEA
1619,ICAM1
1620,STRN4
1621,LYZ
1622,MUL1
1623,TFAP4
1624,PDCD7
1625,SPG21
1626,DNAJB11
1627,P3H2
1628,CHRD
1629,FLT3LG
1630,RAB11FIP3
1631,GNPTG
1632,ZNF268
1633,GOLGA3
1634,PABPC4
1635,CERS4
1636,MCOLN1
1637,USP48
